epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1177.14,0.40907,0.28545,0.89825,0.96742,0.96,0.98193,0.86176,0.51514,0.31247,0.98896,0.000643836,0.000643836,0.000643836
113,1182.03,0.40387,0.28394,0.89922,0.95993,0.97346,0.98168,0.85415,0.51531,0.31068,0.99371,0.000636762,0.000636762,0.000636762
114,1186.91,0.40496,0.28273,0.89675,0.97344,0.97103,0.98186,0.85209,0.52747,0.31805,1.00865,0.000629689,0.000629689,0.000629689
115,1191.81,0.39582,0.28428,0.8943,0.96903,0.97018,0.98311,0.85046,0.53211,0.32441,0.99071,0.000622615,0.000622615,0.000622615
116,1196.72,0.41047,0.29187,0.90077,0.95704,0.97132,0.98449,0.84992,0.51803,0.3124,0.99491,0.000615542,0.000615542,0.000615542
117,1201.5,0.39712,0.28225,0.89155,0.96627,0.96138,0.98317,0.85592,0.52766,0.3276,0.9997,0.000608468,0.000608468,0.000608468
118,1206.74,0.38714,0.26965,0.88479,0.96696,0.97002,0.9814,0.85737,0.5155,0.32934,0.98874,0.000601395,0.000601395,0.000601395
119,1212.01,0.38297,0.26979,0.88812,0.96881,0.97288,0.97632,0.84733,0.51442,0.30428,0.99413,0.000594321,0.000594321,0.000594321
120,1216.79,0.40259,0.28329,0.9094,0.96339,0.97247,0.9784,0.84807,0.52264,0.2972,0.9994,0.000587248,0.000587248,0.000587248
121,1221.65,0.40045,0.28364,0.89697,0.96351,0.96443,0.98103,0.85247,0.5116,0.29901,0.98448,0.000580174,0.000580174,0.000580174
122,1226.41,0.419,0.30284,0.9224,0.97144,0.96328,0.98377,0.86086,0.5201,0.31457,1.00184,0.0005731,0.0005731,0.0005731
123,1231.19,0.36344,0.26995,0.87283,0.96926,0.96433,0.98451,0.85788,0.52292,0.30797,0.99473,0.000566027,0.000566027,0.000566027
124,1235.99,0.38434,0.27303,0.89231,0.96997,0.9738,0.98173,0.84975,0.52256,0.31806,0.99536,0.000558953,0.000558953,0.000558953
125,1241.02,0.38315,0.27279,0.88907,0.96164,0.96869,0.97835,0.8516,0.52128,0.32387,0.9971,0.00055188,0.00055188,0.00055188
126,1245.88,0.36308,0.26139,0.88779,0.9678,0.96653,0.97408,0.85018,0.51909,0.31322,0.9915,0.000544806,0.000544806,0.000544806
127,1250.65,0.37384,0.27099,0.89281,0.97618,0.9642,0.9795,0.8562,0.52846,0.31174,0.99265,0.000537733,0.000537733,0.000537733
128,1255.69,0.37723,0.27059,0.89163,0.96788,0.96174,0.97907,0.85692,0.538,0.31803,1.00878,0.000530659,0.000530659,0.000530659
129,1261.03,0.36534,0.25834,0.88247,0.97698,0.95351,0.9837,0.85218,0.52794,0.30303,0.99608,0.000523586,0.000523586,0.000523586
130,1266.16,0.37359,0.26131,0.8832,0.95015,0.97472,0.97695,0.85159,0.53174,0.30857,1.0026,0.000516512,0.000516512,0.000516512
131,1271.27,0.37504,0.26705,0.88364,0.94978,0.96985,0.97636,0.84469,0.52528,0.31392,0.98847,0.000509438,0.000509438,0.000509438
132,1276.38,0.35966,0.25553,0.88043,0.96081,0.96433,0.97688,0.84834,0.51748,0.32595,0.98905,0.000502365,0.000502365,0.000502365
133,1281.38,0.35374,0.25701,0.87283,0.96796,0.95549,0.97826,0.85664,0.51678,0.30491,0.98812,0.000495291,0.000495291,0.000495291
134,1286.46,0.35182,0.25463,0.87622,0.96381,0.96301,0.98028,0.85967,0.52941,0.3065,0.99771,0.000488218,0.000488218,0.000488218
135,1291.57,0.35267,0.25192,0.86153,0.95985,0.97247,0.97808,0.85978,0.52175,0.30152,0.99293,0.000481144,0.000481144,0.000481144
136,1296.59,0.36295,0.25182,0.8897,0.96553,0.95965,0.9783,0.85796,0.51226,0.30975,0.98728,0.000474071,0.000474071,0.000474071
137,1301.64,0.38176,0.26456,0.88843,0.97246,0.95772,0.97616,0.85112,0.50909,0.30897,0.98699,0.000466997,0.000466997,0.000466997
138,1306.67,0.36782,0.26608,0.88079,0.968,0.96301,0.9799,0.85633,0.52712,0.32004,1.00674,0.000459924,0.000459924,0.000459924
139,1311.8,0.36859,0.25424,0.87272,0.96352,0.96475,0.97971,0.85046,0.5226,0.31346,0.99743,0.00045285,0.00045285,0.00045285
140,1316.76,0.3587,0.26944,0.86833,0.97141,0.96583,0.97567,0.84248,0.5335,0.34248,0.9994,0.000445777,0.000445777,0.000445777
141,1322.08,0.35987,0.25691,0.88461,0.97882,0.95407,0.97882,0.85626,0.52835,0.30995,0.99402,0.000438703,0.000438703,0.000438703
142,1327.06,0.35262,0.25498,0.8838,0.9649,0.97231,0.98045,0.86031,0.51683,0.29632,0.99166,0.000431629,0.000431629,0.000431629
143,1332.48,0.34214,0.24471,0.86719,0.96879,0.9685,0.97958,0.85568,0.52436,0.28596,1.00407,0.000424556,0.000424556,0.000424556
144,1337.44,0.34912,0.25283,0.88552,0.97092,0.97015,0.98185,0.85913,0.52167,0.3018,0.99523,0.000417482,0.000417482,0.000417482
145,1342.37,0.34974,0.24751,0.86955,0.9737,0.95826,0.98276,0.86239,0.5098,0.30236,0.98399,0.000410409,0.000410409,0.000410409
146,1347.63,0.36084,0.25228,0.87998,0.9521,0.96672,0.97955,0.86428,0.50402,0.30075,0.97616,0.000403335,0.000403335,0.000403335
147,1352.91,0.34208,0.2443,0.86546,0.94949,0.97239,0.97278,0.85793,0.50237,0.29324,0.97587,0.000396262,0.000396262,0.000396262
148,1357.83,0.32996,0.23698,0.87405,0.94975,0.97519,0.97486,0.85967,0.51414,0.29125,0.98853,0.000389188,0.000389188,0.000389188
149,1362.9,0.33816,0.24137,0.86516,0.94239,0.97154,0.97751,0.86103,0.50765,0.30293,0.9844,0.000382115,0.000382115,0.000382115
150,1367.89,0.34343,0.24678,0.86926,0.9591,0.95433,0.97596,0.86742,0.50039,0.30151,0.9824,0.000375041,0.000375041,0.000375041
151,1372.99,0.33332,0.25269,0.87077,0.9531,0.96074,0.97848,0.86521,0.50498,0.3059,0.98789,0.000367967,0.000367967,0.000367967
152,1378.22,0.3252,0.23834,0.86224,0.96432,0.95782,0.97699,0.86081,0.51895,0.29908,0.99787,0.000360894,0.000360894,0.000360894
153,1383.16,0.33898,0.25034,0.88076,0.9567,0.96961,0.97982,0.86135,0.50993,0.28823,0.99345,0.00035382,0.00035382,0.00035382
154,1388.07,0.33386,0.2415,0.86468,0.95556,0.97454,0.97754,0.85786,0.51371,0.29253,0.99623,0.000346747,0.000346747,0.000346747
155,1393.06,0.33164,0.238,0.86858,0.96256,0.95749,0.97605,0.86094,0.52309,0.30521,0.9994,0.000339673,0.000339673,0.000339673
156,1398.04,0.34799,0.24293,0.88201,0.95238,0.9693,0.97742,0.8555,0.51903,0.30997,0.99112,0.0003326,0.0003326,0.0003326
157,1403.08,0.33916,0.2437,0.87674,0.96077,0.96338,0.97481,0.85473,0.5068,0.29235,0.98471,0.000325526,0.000325526,0.000325526
158,1408.04,0.32426,0.23934,0.8648,0.96178,0.96917,0.97581,0.85837,0.5141,0.29019,0.99524,0.000318453,0.000318453,0.000318453
159,1413.1,0.33449,0.23639,0.86853,0.96903,0.96127,0.97592,0.85795,0.51667,0.29013,1.00168,0.000311379,0.000311379,0.000311379
160,1418.08,0.33633,0.24734,0.86934,0.9604,0.97155,0.97879,0.86167,0.50853,0.28485,0.99,0.000304306,0.000304306,0.000304306
161,1423.22,0.34651,0.26193,0.87766,0.95458,0.97536,0.97563,0.85376,0.50478,0.29624,0.98937,0.000297232,0.000297232,0.000297232
162,1428.42,0.31984,0.23275,0.87242,0.95445,0.97815,0.97994,0.85709,0.51313,0.29629,0.99691,0.000290158,0.000290158,0.000290158
163,1433.54,0.33024,0.24146,0.87002,0.96241,0.97113,0.98097,0.85957,0.51898,0.28794,0.99436,0.000283085,0.000283085,0.000283085
164,1438.44,0.31684,0.2446,0.84378,0.95692,0.97776,0.9803,0.86636,0.50858,0.27762,0.9912,0.000276011,0.000276011,0.000276011
165,1443.29,0.32631,0.23619,0.8713,0.97436,0.95711,0.98001,0.87071,0.51589,0.29208,0.99808,0.000268938,0.000268938,0.000268938
166,1448.34,0.323,0.23466,0.86611,0.97586,0.95849,0.98181,0.8714,0.51128,0.2929,0.99314,0.000261864,0.000261864,0.000261864
167,1453.35,0.33194,0.23382,0.86768,0.96994,0.96998,0.98065,0.86466,0.51058,0.2965,0.99071,0.000254791,0.000254791,0.000254791
168,1458.4,0.31367,0.2301,0.86021,0.96859,0.96852,0.98105,0.8657,0.51224,0.30227,0.98721,0.000247717,0.000247717,0.000247717
169,1463.48,0.31174,0.21982,0.86614,0.96727,0.96939,0.98073,0.86823,0.50299,0.28881,0.97985,0.000240644,0.000240644,0.000240644
170,1468.46,0.30875,0.22565,0.85727,0.96831,0.97007,0.97973,0.86494,0.49446,0.28932,0.97855,0.00023357,0.00023357,0.00023357
171,1473.67,0.31133,0.23635,0.86873,0.96503,0.9705,0.97962,0.86733,0.4927,0.28757,0.97797,0.000226497,0.000226497,0.000226497
172,1478.74,0.31447,0.23284,0.86004,0.96325,0.97541,0.9816,0.86759,0.49122,0.28421,0.97697,0.000219423,0.000219423,0.000219423
173,1483.78,0.30201,0.21872,0.86001,0.96225,0.97523,0.98146,0.86703,0.49619,0.28824,0.98345,0.000212349,0.000212349,0.000212349
174,1488.82,0.3097,0.22174,0.85411,0.96352,0.97439,0.9794,0.86864,0.50066,0.28032,0.98441,0.000205276,0.000205276,0.000205276
175,1493.91,0.30104,0.2178,0.85581,0.95851,0.97281,0.98196,0.86687,0.50013,0.27422,0.98645,0.000198202,0.000198202,0.000198202
176,1498.86,0.31443,0.23022,0.85979,0.96916,0.96316,0.98246,0.86667,0.50255,0.27729,0.98567,0.000191129,0.000191129,0.000191129
177,1503.95,0.3041,0.22078,0.85573,0.974,0.96046,0.98207,0.86689,0.5031,0.27944,0.98912,0.000184055,0.000184055,0.000184055
178,1508.86,0.30495,0.218,0.85478,0.97348,0.9597,0.98159,0.8671,0.50201,0.28294,0.99313,0.000176982,0.000176982,0.000176982
179,1513.89,0.30134,0.22069,0.85754,0.96826,0.9611,0.97977,0.86692,0.49995,0.28016,0.9892,0.000169908,0.000169908,0.000169908
180,1518.85,0.30508,0.21663,0.85831,0.95999,0.97563,0.97937,0.86783,0.49828,0.27669,0.98566,0.000162835,0.000162835,0.000162835
181,1523.59,0.29295,0.21146,0.86702,0.95767,0.97256,0.98042,0.87137,0.49006,0.27354,0.98115,0.000155761,0.000155761,0.000155761
182,1528.4,0.30735,0.22521,0.8665,0.95965,0.96864,0.97869,0.87186,0.49276,0.27342,0.98077,0.000148687,0.000148687,0.000148687
183,1533.32,0.30275,0.21936,0.85961,0.95819,0.96805,0.97827,0.86918,0.48965,0.28037,0.9799,0.000141614,0.000141614,0.000141614
